instruction,context,response,category
who invent the telephon ?,,"in 1876 , alexand graham bell wa the first to obtain a unit state patent for a devic that produc a clearli intellig replica of the human voic on a second devic . a resolut pass by the unit state hous of repres on june 11 , 2002 call for recognit of antonio meucci 's work and contribut toward the invent of the telephon .",open_qa
who are the smith ?,"the smith were an english rock band form in manchest in 1982 . they compris the singer morrissey , the guitarist johnni marr , the bassist andi rourk and the drummer mike joyc . morrissey and marr form the band 's songwrit partnership . they are regard as one of the most import act to emerg from the 1980 british independ music .","the smith were an english rock band from the 1980 . the lead singer wa morrissey . the other band member were : johnni marr on guitar , andi rourk on bass , and mike joyc on drum .",summar
give me five way in which i can make my homebrew beer more interest,,"there are infinit way to creat interest flavour , that are either person favourit or attempt to replic classic beer and beer style . there are a number of factor that make up a beer flavour profil and part of the enjoy brew your own beer at home , is that you can play around with each of these to chang the flavour and charact of your homebrew beer . here are five way in which you can chang your own homebrew recip to add interest flavour or altern you can alter an exist homebrew recip share by somebodi els or a breweri . 1 . use differ hop there is a huge varieti of hop avail to homebrew and each of these can introduc it own particular flavour and aroma to your beer , rang from pineappl and apricot , to pine tree and wood , to grapefruit pith and lemon zest . by use a differ hop in your recip either from the same famili or from an entir differ famili of hop , you can easili add interest and often radic chang to the flavour profil of your beer . howev , depend on when the hop are ad in the brew process , you can also increase/decreas the level of bitter of your beer , due to differ hop varieti have differ level of alpha acid . 2 . use a differ yeast besid ferment the beer , yeast leav behind lot of interest flavour and can give your homebrew it 's own subtl charact . for exampl , english yeast strain can add malti and sweet flavour , california yeast tend to creat a clean and crisp beer , whilst saison yeast add bright and fruiti flavour to your beer . 3 . use differ grain chang the amount of base malt can increas or decreas the alcohol in your finish beer . tri swap one base malt for anoth , like american pale malt for a british varieti , and look for the subtl differ between them . you can also play around with the specialti grain , like use a slightli darker roast . 4 . add fruit , spice or herb fruit , spice , herb , and other ingredi are a great way to add an entir person charact to your homebrew . anyth from fresh strawberri and basil to vanilla bean and cardamom can realli complement the other malti , hoppi flavour in a beer . 5 . alter your water profil differ beer style will typic be best achiev with a suitabl water profil , with differ level of miner to achiev the desir flavour profil . by adjust the amount of specif miner found in your brew water , beer can be made to tast fuller bodi , sweeter , drier , more bitter , or even sour .",brainstorm
how mani grammi award ha bad bunni won ?,,bad bunni ha won 2 grammi award and ha been nomin for 6,open_qa
when wa the first read railway station open ?,"read railway station is a major transport hub in read , berkshir , england . it is on the northern edg of the town centr , near the main retail and commerci area and the river thame , 36 mile ( 58 km ) from london paddington . the first read station wa open on 30 march 1840 as the temporari western terminu of the origin line of the great western railway ( gwr ) . read is the ninth-busiest station in the uk outsid london and the second busiest interchang station outsid london with over 3.8 million passeng chang train at the station annual .","the first read railway station wa open on the 30th of march , 1840 .",closed_qa
what is hifi ?,"high fidel ( often shorten to hi-fi or hifi ) is the high-qual reproduct of sound . [ 1 ] it is popular with audiophil and home audio enthusiast . ideal , high-fidel equip ha inaud nois and distort , and a flat ( neutral , uncolor ) frequenc respons within the human hear rang . [ 2 ] high fidel contrast with the lower-qu “ lo-fi ” sound produc by inexpens audio equip , am radio , or the inferior qualiti of sound reproduct that can be heard in record made until the late 1940 .","bell laboratori began experi with a rang of record techniqu in the earli 1930 . perform by leopold stokowski and the philadelphia orchestra were record in 1931 and 1932 use telephon line between the academi of music in philadelphia and the bell lab in new jersey . some multitrack record were made on optic sound film , which led to new advanc use primarili by mgm ( as earli as 1937 ) and twentieth centuri fox film corpor ( as earli as 1941 ) . rca victor began record perform by sever orchestra use optic sound around 1941 , result in higher-fidel master for 78-rpm disc . dure the 1930 , averi fisher , an amateur violinist , began experi with audio design and acoust . he want to make a radio that would sound like he wa listen to a live orchestra—that would achiev high fidel to the origin sound . after world war ii , harri f. olson conduct an experi wherebi test subject listen to a live orchestra through a hidden variabl acoust filter . the result prove that listen prefer high-fidel reproduct , onc the nois and distort introduc by earli sound equip wa remov . [ citat need ] begin in 1948 , sever innov creat the condit that made major improv of home-audio qualiti possibl : reel-to-reel audio tape record , base on technolog taken from germani after wwii , help music artist such as bing crosbi make and distribut record with better fidel . the advent of the 33⅓ rpm long play ( lp ) microgroov vinyl record , with lower surfac nois and quantit specifi equal curv as well as noise-reduct and dynam rang system . classic music fan , who were opinion leader in the audio market , quickli adopt lp becaus , unlik with older record , most classic work would fit on a singl lp . higher qualiti turntabl , with more respons needl fm radio , with wider audio bandwidth and less suscept to signal interfer and fade than am radio . better amplifi design , with more attent to frequenc respons and much higher power output capabl , reproduc audio without percept distort . [ 3 ] new loudspeak design , includ acoust suspens , develop by edgar villchur and henri kloss with improv bass frequenc respons . in the 1950 , audio manufactur employ the phrase high fidel as a market term to describ record and equip intend to provid faith sound reproduct . mani consum found the differ in qualiti compar to the then-standard am radio and 78-rpm record readili appar and bought high-fidel phonograph and 33⅓ lp such as rca 's new orthophon and london 's ffrr ( full frequenc rang record , a uk decca system ) . audiophil paid attent to technic characterist and bought individu compon , such as separ turntabl , radio tuner , preamplifi , power amplifi and loudspeak . some enthusiast even assembl their own loudspeak system . with the advent of integr multi-speak consol system in the 1950 , hi-fi becam a gener term for home sound equip , to some extent displac phonograph and record player . in the late 1950 and earli 1960 , the develop of stereophon equip and record led to the next wave of home-audio improv , and in common parlanc stereo displac hi-fi . record were now play on a stereo . in the world of the audiophil , howev , the concept of high fidel continu to refer to the goal of highli accur sound reproduct and to the technolog resourc avail for approach that goal . thi period is regard as the `` golden age of hi-fi '' , when vacuum tube equip manufactur of the time produc mani model consid superior by modern audiophil , and just befor solid state ( transistor ) equip wa introduc to the market , subsequ replac tube equip as the mainstream technolog . in the 1960 , the ftc with the help of the audio manufactur came up with a definit to identifi high fidel equip so that the manufactur could clearli state if they meet the requir and reduc mislead advertis . [ 4 ] the metal–oxide–semiconductor field-effect transistor ( mosfet ) wa adapt into a power mosfet for audio by jun-ichi nishizawa at tohoku univers in 1974 . power mosfet were soon manufactur by yamaha for their hi-fi audio amplifi . jvc , pioneer corpor , soni and toshiba also began manufactur amplifi with power mosfet in 1974 . [ 5 ] in 1977 , hitachi introduc the ldmo ( later diffus mo ) , a type of power mosfet . hitachi wa the onli ldmo manufactur between 1977 and 1983 , dure which time ldmo wa use in audio power amplifi from manufactur such as hh electron ( v-seri ) and ashli audio , and were use for music and public address system . [ 5 ] class-d amplifi becam success in the mid-1980 when low-cost , fast-switch mosfet were made avail . [ 6 ] mani transistor amp use mosfet devic in their power section , becaus their distort curv is more tube-lik . [ 7 ] a popular type of system for reproduc music begin in the 1970 wa the integr music centre—which combin a phonograph turntabl , am-fm radio tuner , tape player , preamplifi , and power amplifi in one packag , often sold with it own separ , detach or integr speaker . these system advertis their simplic . the consum did not have to select and assembl individu compon or be familiar with imped and power rate . purist gener avoid refer to these system as high fidel , though some are capabl of veri good qualiti sound reproduct . audiophil in the 1970 and 1980 prefer to buy each compon separ . that way , they could choos model of each compon with the specif that they desir . in the 1980 , a number of audiophil magazin becam avail , offer review of compon and articl on how to choos and test speaker , amplifi , and other compon . listen test see also : codec listen test listen test are use by hi-fi manufactur , audiophil magazin , and audio engin research and scientist . if a listen test is done in such a way that the listen who is assess the sound qualiti of a compon or record can see the compon that are be use for the test ( e.g. , the same music piec listen to through a tube power amplifi and a solid-st amplifi ) , then it is possibl that the listen 's pre-exist bias toward or against certain compon or brand could affect their judgment . to respond to thi issu , research began to use blind test , in which listen can not see the compon be test . a commonli use variant of thi test is the abx test . a subject is present with two known sampl ( sampl a , the refer , and sampl b , an altern ) , and one unknown sampl x , for three sampl total . x is randomli select from a and b , and the subject identifi x as be either a or b . although there is no way to prove that a certain methodolog is transpar , [ 8 ] a properli conduct double-blind test can prove that a method is not transpar . blind test are sometim use as part of attempt to ascertain whether certain audio compon ( such as expens , exot cabl ) have ani subject perceiv effect on sound qualiti . data glean from these blind test is not accept by some audiophil magazin such as stereophil and the absolut sound in their evalu of audio equip . john atkinson , current editor of stereophil , state that he onc purchas a solid-st amplifi , the quad 405 , in 1978 after see the result from blind test , but came to realiz month later that `` the magic wa gone '' until he replac it with a tube amp . [ 9 ] robert harley of the absolut sound wrote , in 2008 , that : `` ... blind listen test fundament distort the listen process and are worthless in determin the audibl of a certain phenomenon . `` [ 10 ] doug schneider , editor of the onlin soundstag network , refut thi posit with two editori in 2009 . [ 11 ] [ 12 ] he state : `` blind test are at the core of the decad ' worth of research into loudspeak design done at canada 's nation research council ( nrc ) . the nrc research knew that for their result to be credibl within the scientif commun and to have the most meaning result , they had to elimin bia , and blind test wa the onli way to do so . '' mani canadian compani such as axiom , energi , mirag , paradigm , psb , and revel use blind test extens in design their loudspeak . audio profession dr. sean oliv of harman intern share thi view . [ 13 ]",information_extract
what is a brown ear pheasant ?,"the brown ear pheasant ( crossoptilon mantchuricum ) is a larg , 96– to 100-cm-long , dark brown pheasant endem to the mountain forest of northeastern china ( shanxi and nearbi provinc ) . the speci wa first describ by robert swinho in 1863 . it ha stiff white ear covert behind the eye , which look like a moustach . the crown is black with red bare facial skin and it tail of 22 elong , white feather is curv , loos and dark-tip . both sex are similar in plumag .","the brown ear pheasant is a larg dark brown pheasant nativ to the mountain forest of northeastern china . it ha distinct white ear covert behind the eye that look like a moustach . it 's crown is black with red bare facial skin , and it ha a tail with long , white , curv , loos , dark-tip feather .",summar
"which of these are rapper ? eminem , michael jackson , rihanna , 50 cent",,"eminem , 50 cent",classif
is it true that lewi hamilton won the championship in hi first f1 season ?,"hamilton 's first season in formula one saw him partner two-tim and defend world champion fernando alonso . hamilton is the first and , as of 2022 , the onli black driver to race in the seri . [ 60 ] [ 61 ] [ 62 ] after finish on the podium in hi debut , hamilton went on to set sever record as he finish runner-up in the 2007 world driver ' championship to kimi räikkönen by one point , includ those for the most consecut podium finish from debut ( 9 ) , the joint most win in a debut season ( 4 ) and the most point in a debut season ( 109 ) . throughout the season , hamilton and alonso were involv in a number of incid which result in tension between both driver and the team , culmin in alonso and mclaren termin their contract by mutual consent in novemb . follow a success first season at mclaren , hamilton sign a multi-million-pound contract to stay with the team until 2012 . [ 63 ]","lewi hamilton did not win the f1 world driver 's championship in hi rooki season in 2007 . the titl went to kimi räikkönen in the ferrari team . hamilton finish runner up , in second place , after a close battl with both ferrari and hi teammat fernando alonso .",summar
what are some kind of embroideri stitch for write letter ?,,"some embroideri stitch that can be use to embroid letter are the back stitch , the split stitch , the stem stitch , the chain stitch , the couch stitch , and the satin stitch .",brainstorm
what are the most common injuri in row ?,"row is a low-impact sport with movement onli in defin rang , so that twist and sprain injuri are rare . howev , the repetit row action can put strain on knee joint , the spine and the tendon of the forearm , and inflamm of these are the most common row injuri . [ 52 ] if one row with poor techniqu , especi row with a curv rather than straight back , other injuri may surfac , includ back pain and wrist injuri . blister occur for almost all rower , especi in the begin of one 's row career , as everi stroke put pressur on the hand , though row frequent tend to harden hand and gener protect callus . hold the oar too tightli or make adjust to techniqu may caus recur or new blister , as it is common to feather the blade . anoth common injuri is get `` track bite '' , thin cut on the back of one 's calf or thigh caus by contact with the seat track at either end of the stroke . [ 53 ]","the most common injuri in row are inflamm of the knee , spine and forearm . oher common injuri also includ hand blister and track bite .",summar
what is a kite ?,,"a kite is a toy that can be be purchas in a store or a specialti shop . it is a craft that is lighter an air that is tie to a string that you can fli on wind current . the kite ha wing that react against the air to creat lift enabl it to fli . you can fli a kite at a park or an open area , and you will want to make sure there are no power line nearbi to be safe when fli the kite .",open_qa
"classifi each of the follow piec of equip accord to the sport they are use for , either basketbal , footbal , or soccer : shin guard , shoot sleev , penalti flag , corner flag , kick tee , and goali glove .",,"the classif is as follow : - soccer : goali glove , corner flag - basketbal : shoot sleev - footbal : penalti flag , kick tee",classif
"given thi paragraph about billi eilish , tell me who produc her debut singl , also tell me what is her chart-top singl ?","billi eilish pirat baird o'connel ( /ˈaɪlɪʃ/ eye-lish ; [ 1 ] born decemb 18 , 2001 ) is an american singer and songwrit . she first gain public attent in 2015 with her debut singl `` ocean eye '' , written and produc by her brother finnea o'connel , with whom she collabor on music and live show . in 2017 , she releas her debut extend play ( ep ) , titl do n't smile at me . commerci success , it reach the top 15 of record chart in numer countri , includ the us , uk , canada , and australia . eilish 's first studio album , when we all fall asleep , where do we go ? ( 2019 ) , debut atop the us billboard 200 and uk album chart . it wa one of the best-sel album of the year , buoy by the success of it fifth singl `` bad guy '' , eilish 's first number-on on the us billboard hot 100 . thi made her the first artist born in the 21st centuri to releas a chart-top singl . the follow year , eilish perform the theme song `` no time to die '' for the jame bond film of the same name , which top the uk singl chart and won the academi award for best origin song in 2022 . her subsequ singl `` everyth i want '' , `` my futur '' , `` therefor i am '' , and `` your power '' peak in the top 10 in the us and uk . her second studio album , happier than ever ( 2021 ) , top chart in 25 countri .","her brother finnea o'connel produc her debut singl `` ocean eye '' , and her chart top singl is `` bad guy ''",closed_qa
what is a good way to get around without a car ?,,"if you live in a citi you can access public transport such as buse and train . you can also walk , use a bicycl , or electr scooter to get around .",brainstorm
"identifi which anim speci is aliv or extinct : palaeophi , giant tortois",,"giant tortois is aliv , palaeophi is extinct .",classif
"whi is santa cruz , california a great place to live ?",,"santa cruz , california ha one of the best climat in the continent u.s. – be close to the pacif ocean , temperatur stay warmer in the winter and cooler in the summer , but without the dread fog that nearbi citi like san francisco or monterey experi . the small citi is world-fam for surf , and the relax vibe that come with it . natur beauti is abund , with the mountain and beach onli a few mile apart .",general_qa
give me some idea to manag my manag .,,1 . be honest 2 . commun 3 . understand goal 4 . stay calm 5 . solv problem 6 . be posit 7 . share your knowledg 8 . be care 9 . practic posit reinforc 10 . be a strong perform,brainstorm
who wa boxer john baldwin,"known as `` the mad '' baldwin , he turn pro in 1970 and lost a decis to marvin hagler in 1975 . in 1977 he took on rocki mosley jr in the ill-fat u.s. championship tournament , but lost via k.o . in 1978 he lost a decis to marvin johnson , and retir a year later .","born in detroit , john baldwin wa a profession us boxer . he fought in the light-middleweight categori and won a bronz medal in the 1968 olymp . he turn pro in 1970 , and lost a decis to marvin hagler in 1975 . he retir in 1979",information_extract
"identifi which instrument is string or percuss : samphor , viola toeria",,"viola toeria is string , samphor is percuss .",classif
"if we were play a game where we had to identifi thing that can be found insid a hous , which of these would we call out : car , chair , tabl , park , cloud , microwav .",,"insid a hous you can find a chair , a tabl and a microwav . car , cloud and park are found outsid of hous .",classif
"classifi the follow as either dark-color beer or light color beer : porter , pilsner , stout , amber , lager",,"dark-color beer : porter , stout , amber light-color beer : pilsner , lager",classif
give me a bullet list of the 5 highest mountain in the world and their respect height in meter,,"* mount everest . height : 8,849 meter * k2 . height : 8,611 meter * kangchenjunga . height : 8,586 meter * lhots . height : 8,516 meter * makalu . height : 8,485 meter",brainstorm
extract all of the date mention in thi paragraph and list them use bullet in the format { date } - { descript },"daniel leavitt wa born novemb 16 , 1813 , at rye , new hampshir , the son of ben leavitt , influenti businessman , state senat , counti commission and later chicope selectman , [ 5 ] and hi wife oliv ( jen ) leavitt . daniel leavitt marri in 1838 at west springfield , massachusett , ruth jeannett ball . they had three children .","• novemb 16 , 1813 - thi is when daniel leavitt wa born • 1838 - thi is when daniel leavitt marri hi wife ruth jeannett ball .",information_extract
which product appl sell ?,,"appl sell varieti of product . includ watch , phone , laptop and comput .",general_qa
write a short stori about a person who discov a hidden room in their hous . the stori should includ a plot twist and a clear resolut at the end .,,"it wa go to be a long day . with her brother-in-law out of town , lisa had agre to watch her niec stella for the afternoon and the littl girl wa known to be a bit of a hand . her plan had been to spend the afternoon at the park to let stella run and climb , to wear her out a bit . unfortun , thi outing wa foil by the constant downpour of rain so lisa resign herself to a day insid with the tini tyrant . stella arriv earli and excit to play . lisa decid to begin with a game of hide and seek , after all thi could take up a good part of the morn without too much troubl . stella ran off to hide and lisa sat quietli drink coffe while call out to the littl girl , pretend to seek . eventu she set off to find the littl girl but soon she realiz that someth wa wrong . no matter where she look , stella wa nowher to be found . the hous wa n't that larg , make her disappear even more perplex . lisa had onli recent move into the home that she bought from her great aunt shortli befor her death and she ha n't even move out all of the exist furnitur . mayb stella had gotten stuck somewher behind the larg wardrob in the bedroom or she had climb up into a cupboard in the laundri room . panic wa start to settl in as she move the wardrob further from the wall , where onli a small child could have hidden befor . suddenli , saw a small crack in the wall , and then realiz it wa a small door that she never knew wa there . the door wa slightli ajar and she eventu move the wardrob enough to open the door and climb insid . what wa thi place ? the entranc open up to reveal a small room that lisa never knew exist ! it wa full of treasur , gold bar and jewel . stella sat in the middl of the room quietli play with the treasur , unawar of the immens valu she wa surround by . lisa had known her aunt wa a secret woman but thi wa an incred find and would chang her life forev . stella 's visit wa the good luck charm she need to unlock thi bounti and she would be forev grate to the littl girl ! time to call her brother-in-law to thank him for let stella visit .",creative_writ
pleas describ what is oil and give me a list of it ’ s applic .,"an oil is ani nonpolar chemic substanc that is compos primarili of hydrocarbon and is hydrophob ( doe not mix with water ) & lipophil ( mix with other oil ) . oil are usual flammabl and surfac activ . most oil are unsatur lipid that are liquid at room temperatur . the gener definit of oil includ class of chemic compound that may be otherwis unrel in structur , properti , and use . oil may be anim , veget , or petrochem in origin , and may be volatil or non-volatil . [ 1 ] they are use for food ( e.g. , oliv oil ) , fuel ( e.g. , heat oil ) , medic purpos ( e.g. , miner oil ) , lubric ( e.g . motor oil ) , and the manufactur of mani type of paint , plastic , and other materi . special prepar oil are use in some religi ceremoni and ritual as purifi agent .","an oil is a chemic substanc that is compos primarili of hydrocarbon and may be anim , veget or petrochem in origin . oil is use in a wide rang of applic and is essenti to everyday human life . these are : cook - edibl veget and anim oil are use for variou purpos in cook and food prepar cosmet - most facial cleanser , lotion and hair care product contain molecul that come from miner and veget oil fuel - crude oil is refin and convert to diesel , gasolin or jet fuel to power car , truck and plane heat - petrochem oil is use for heat paint - oil is use as a support medium for paint lubric - oil are use in variou engin purpos as they do not easili adher to other substanc which make them use as lubric religion - oil ha been use throughout histori as a religi medium . it is often consid a spiritu purifi agent and is use to anoint purpos health - oil hold lot of fat and medic properti , for exampl fish oil hold the omega-3 fatti acid which help with inflamm and reduc fat in the bloodstream",summar
list 6 differ type of rain in seattl,,1 . mist 2 . drizzl 3 . sleet 4 . downpour 5 . freez rain 6 . sun shower,brainstorm
what is invest bank ?,,"invest bank pertain to certain activ of a financi servic compani or a corpor divis that consist in advisory-bas financi transact on behalf of individu , corpor , and govern . tradit associ with corpor financ , such a bank might assist in rais financi capit by underwrit or act as the client 's agent in the issuanc of debt or equiti secur . an invest bank may also assist compani involv in merger and acquisit ( m & a ) and provid ancillari servic such as market make , trade of deriv and equiti secur , ficc servic ( fix incom instrument , currenc , and commod ) or research ( macroeconom , credit or equiti research ) . most invest bank maintain prime brokerag and asset manag depart in conjunct with their invest research busi . as an industri , it is broken up into the bulg bracket ( upper tier ) , middl market ( mid-level busi ) , and boutiqu market ( special busi ) . unlik commerci bank and retail bank , invest bank do not take deposit .",open_qa
i start a new compani name greyston inc. what do we do ?,,- invest bank for weird guy onli - aerospac consult - pasta and pasta accessori global logist - polit lobbi for the mine industri,brainstorm
tell me whether or not these food are on ewg 's dirti dozen list,,"avocado , kiwi , pair , blueberri , green bean , kale , cabbag",classif
how much music theori knowledg is requir to compos music ?,,"technic speak , veri littl music theori knowledg is “ requir ” to compos music . music theori is , essenti , what musician have learn over the cours of sever hundr year about how to write music that is interest and sound good . in other word , music theori is there to help you , not hold you back . when you learn music theori , what often happen is that you expand your broader understand of music , which can be a veri help safeti net . the more music theori you know , the easier you ’ ll be abl to distinguish between the good idea and the not-so-good . you need to know the rule befor you can break them . you need to be abl to write by the book befor you throw the book away . if not , you run the risk of write music that ’ s not nearli as clever as you think it is , that tri to be dare and experiment but end up just be dull and vanilla . and frankli , i just don ’ t see the valu in ignor all the work that centuri worth of musician have done into know how music work . put the time into learn and realli understand it can onli make you a better musician and a better compos . so , that ’ s my answer . learn at least as much theori as you need to know to understand the rule you want to break .",general_qa
"categor each of the follow instrument as either string or keyboard : guitar , violin , piano , harmonium , cello , accordion , banjo",,guitar - string violin - string piano - keyboard harmonium - keyboard cello - string accordion - keyboard banjo - string,classif
summar in one sentenc thi articl about a famou song .,"`` i 'm an old cowhand ( from the rio grand ) '' is a comic song written by johnni mercer for the paramount pictur releas rhythm on the rang and sung by it star , bing crosbi . the crosbi commerci record wa made on juli 17 , 1936 , with jimmi dorsey & hi orchestra for decca record . [ 1 ] it wa a huge hit in 1936 , reach the no . 2 spot in the chart of the day , [ 2 ] and it greatli further mercer 's career . crosbi record the song again in 1954 for hi album bing : a music autobiographi . member of the western writer of america chose it as one of the top 100 western song of all time . [ 3 ] background mercer and hi wife were drive across the us en rout to hi hometown , savannah , georgia , after have appar fail to succeed in hollywood . mercer wa amus by the sight of cowboy , with spur and ten-gallon hat , drive car and truck instead of ride hors . sing cowboy were popular in film and on the radio then , and within 15 minut , write on the back of an envelop , mercer transfer the imag he wa see into a song whose satir lyric vent some of hi own bitter frustrat with hollywood . [ 4 ] the lyric , about a 20th-centuri cowboy who ha littl in common with the cowpunch of old , have been includ in some antholog of light vers .","i 'm an old cowhand ( from the rio grand ) , written by johnni mercer and record by bing crosbi , is popular song from 1936 that satir cowboy cultur of the time .",summar
what is the maareech advanc torpedo defenc system ( atd ) ?,"maareech advanc torpedo defenc system ( atd ) is a torpedo detect and countermeasur system use by the indian navi . the system offer a complet solut to detect and locat an incom torpedo and to appli countermeasur to protect naval platform against torpedo attack . it wa develop as a joint project of the naval physic and oceanograph laboratori ( npol ) , kochi and the naval scienc and technolog laboratori ( nstl ) , visakhapatnam . [ 1 ] [ 2 ] [ 3 ] [ 4 ] bharat electron is manufactur it india . [ 5 ]",the maareech advanc torpedo defenc system ( atd is a torpedo detect and countermeasur system use by the indian navi .,information_extract
chang the follow passag to past tens,"the episod focus on two peopl : an elderli hospit doctor ( aleksand bardini ) , who live by himself in the ubiquit dekalog apart block ; and dorota geller ( krystyna janda ) , a woman in her 30 who live in the same build and is a violinist with the philharmon orchestra .","the episod focus on two peopl : an elderli hospit doctor ( aleksand bardini ) , who live by himself in the ubiquit dekalog apart block ; and dorota geller ( krystyna janda ) , a woman in her 30 who live in the same build and wa a violinist with the philharmon orchestra .",information_extract
what is the tallest mountain in the continent us ?,,"mt . whitney , which is 14500 ft , is the tallest mountain in the continent us . although if we were to includ the state of alaska , then the tallest mountain is actual mt denali , which is 20,320 ft. mt . whitney is actual onli the 17th tallest mountain in all of the us , where the tallest 1-16 are all mountain in alaska .",general_qa
who is shoji hashimoto ?,"shoji hashimoto ( 橋本 昌二 , hashimoto shōji , april 18 , 1935 – decemb 2 , 2009 ) wa a profession go player .","shoji hashimoto ( 橋本 昌二 , hashimoto shōji , april 18 , 1935 – decemb 2 , 2009 ) wa a profession go player . hashimoto turn pro in 1947 when he wa just 12 . it took him onli 11 year to reach 9p . he learn go from hi father hashimoto kunisaburō and hi discipl includ takahara shūji , moriyama naoki , oda hiromitsu , okahashi hirotada , and hayashi kōzō . he wa a member of the kansai ki-in .",information_extract
what are some of the best comedi movi of the 1980 's ?,,"some of the best movi releas in the 1980 's are the breakfast club , the gooni , sixteen candl , ghostbust and back to the futur .",open_qa
in golf what do the american call an albatross,,doubl eagl,open_qa
what are common ingredi of a full english breakfast ?,,"bacon , egg , sausag , bean , toast , mushroom , tomato . some peopl also includ black pud and hash brown . egg are commonli fri or scrambl .",classif
"plan for a three day road trip for may long weekend from westfield , new jersey",,"may 26 : drive to montreal from westfield , nj . time taken 6 hr . stay there overnight may 27 : have a quick breakfast .. checkout and drive to mount tremblant . time : 90 minut may 27 : hike grand brule ( red path ) on the way up and green path on the way down may 27 : stroll around the tremblant villag may 28 : drive to quebec citi . time taken : 4 hr may 28 : explor the citi , aquarium and go for wildlif watch may 29 : drive to montreal . spend time explor the citi may 30 : drive back to westfield , new jersey",creative_writ
how do you oper a car with a manual transmiss ?,,"through a combin of a shifter and three pedal : ga , brake , and clutch . press down the clutch pedal with one foot , and the brake with your other foot first and then turn on the engin of the car . it is recommend to shift to neutral immedi after turn on your car and prior to depart . to shift between one of the engag gear , typic mark 1 , 2 , 3 , 4 , 5 n ( for neutral ) and r ( for revers ) , press down on the clutch all the way to the floor and move the shifter to the desir locat . onc the car is on and you 're in neutral if you want to move forward , press and hold the clutch pedal to the floor and move the shifter to the `` 1 '' posit . slowli disengag the clutch pedal partial , and while disengag slowli start to press down on the ga pedal . after gradual press more on the ga pedal , slowli remov your foot from the clutch entir . thi will start you in forward motion , and you will be restrict to the speed limit of 1st gear . you can track thi limit through the rpm ( revolut per minut ) gaug on the dashboard of your car . typic you want to keep the rpm between 1500-4000 . if the rpm start to decreas to 1500-2000 that is a sign you want to shift from a higher gear to a lower gear ( i.e . 2nd gear to 1st gear ) , and as the rpm increas to 4000 , that is an indic you want to shift to a higher gear ( i.e . 2nd gear to 3rd gear ) .",general_qa
what is the research collaboratori for structur bioinformat protein data bank ( rcsb pdb ) ?,,"the research collaboratori for structur bioinformat protein data bank ( rcsb pdb ) is a databas that provid a wealth of inform about the 3d structur of protein , nucleic acid , and other macromolecul . the databas contain experiment determin atom coordin for a larg number of macromolecul , which can be use to studi their structur , function , and interact . the rcsb pdb is wide use in genom research and drug discoveri , as it provid a valuabl resourc for understand the structur basi of mani biolog process and for design new drug that target specif macromolecul . in addit to the atom coordin , the rcsb pdb contain a wealth of addit inform about each macromolecul , includ experiment method use for structur determin , citat to relev scientif literatur , and inform about biolog function , sequenc , and homolog . the databas also provid a varieti of tool and resourc for visual , analyz , and download structur data , includ a web-bas viewer that allow user to interact explor the 3d structur of macromolecul .",open_qa
what are 5 potenti use for an empti la croix can ?,,"1 . make your bike sound like it ha an engin by wrap the can around the back tire . 2 . a percuss instrument to play along with friend in a jam session . you could just crinkl it , hit it with a pen , or fill it with sand or debri and shake it . 3 . a bake tool . you can use the bottom of the can to stamp out perfectli circl , uniform cooki from a rolled-out sheet of cooki dough . 4 . a field razor . tear the can care to creat an effect cut devic for emerg use . 5 . a make shift ball to throw around with friend at the park . an empti can could be a fun projectil to use in a friendli game of 3 fli up .",brainstorm
what is the name of the winslow 's nerdi next-door neighbor on the tv show `` famili matter '' ?,,steve urkel,open_qa
whi are so mani us hollywood film made in the state of georgia ?,,"while film in the unit state as an audienc artform start in new york it move to lo angel for the state reason of longer and sunnier day . anoth part of the stori wa a patent disput in 1898 between thoma edison and hi patent for the kinetograph . edison state that he effect had a say in how film were made and want royalti for their use . move from new york near where edison wa base to lo angel wa a simpl way to grow the industri and distanc themselv from a patent war . thi mobil at the start of the modern film era due to cost continu through the 1960 's and 1970 's with western be shot in spain . the 1980 's and 1990 's continu thi trend primarili shoot in canada or mexico . at the turn of the centuri state legisl in the unit state start provid steep tax rebat . the practic outwork of thi is studio are encourag to hire local talent and use local servic when produc their film . the ratio for these rebat is fairli complic and have creat a new industri of tax profession serv the film industri . so then whi georgia ? georgia current provid one of the highest incent structur at 20 % with minim restrict on talent and a veri low minimum budget of $ 500,000 .",open_qa
how mani manag have arsen had ?,"there have been twenti perman and eight caretak manag of arsen sinc 1897 ; stewart houston ha manag the club in two separ spell as caretak . the most success person to manag arsen is arsèn wenger , who won three premier leagu titl , seven fa cup and seven commun shield between 1996 and 2018 . wenger is the club 's longest-serv manag ; he surpass georg allison 's record of 13 year in octob 2009 . two arsen manag have die in the job – herbert chapman and tom whittak .",arsen have had twenti perman and eight caretak manag .,closed_qa
